Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.PRB.DL.Avail","L.ChMeas.PRB.DL.DrbUsed.Avg.ExtQci.Index0","L.ChMeas.PRB.DL.DrbUsed.Avg.QCI6","L.ChMeas.PRB.DL.DrbUsed.Avg.QCI7","L.ChMeas.PRB.DL.DrbUsed.Avg.QCI8","L.ChMeas.PRB.DL.DrbUsed.Avg.QCI9","L.ChMeas.PRB.UL.Avail","L.ChMeas.PRB.UL.DrbUsed.Avg.ExtQci.Index0","L.ChMeas.PRB.UL.DrbUsed.Avg.QCI6","L.ChMeas.PRB.UL.DrbUsed.Avg.QCI7","L.ChMeas.PRB.UL.DrbUsed.Avg.QCI8","L.ChMeas.PRB.UL.DrbUsed.Avg.QCI9","L.E-RAB.AbnormRel.ExtQCI.Index0","L.E-RAB.AbnormRel.QCI.3","L.E-RAB.AbnormRel.QCI.6","L.E-RAB.AbnormRel.QCI.7","L.E-RAB.AbnormRel.QCI.8","L.E-RAB.AbnormRel.QCI.9","L.E-RAB.AbnormRel.TNL","L.E-RAB.AbnormRel.TNL.Load","L.E-RAB.AbnormRel.TNL.Other","L.E-RAB.AbnormRel.TNL.Other.VoIP","L.E-RAB.AbnormRel.TNL.VoIP","L.E-RAB.AttEst.ExtQCI.Index0","L.E-RAB.AttEst.QCI.3","L.E-RAB.AttEst.QCI.6","L.E-RAB.AttEst.QCI.7","L.E-RAB.AttEst.QCI.8","L.E-RAB.AttEst.QCI.9","L.E-RAB.FailEst.TNL","L.E-RAB.FailEst.TNL.DLRes","L.E-RAB.FailEst.TNL.DLRes.VoIP","L.E-RAB.FailEst.TNL.Other","L.E-RAB.FailEst.TNL.Other.VoIP","L.E-RAB.FailEst.TNL.ULRes","L.E-RAB.FailEst.TNL.ULRes.VoIP","L.E-RAB.FailEst.TNL.VoIP","L.E-RAB.NormRel.ExtQCI.Index0","L.E-RAB.NormRel.QCI.3","L.E-RAB.NormRel.QCI.6","L.E-RAB.NormRel.QCI.7","L.E-RAB.NormRel.QCI.8","L.E-RAB.NormRel.QCI.9","L.E-RAB.SuccEst.ExtQCI.Index0","L.E-RAB.SuccEst.QCI.3","L.E-RAB.SuccEst.QCI.6","L.E-RAB.SuccEst.QCI.7","L.E-RAB.SuccEst.QCI.8","L.E-RAB.SuccEst.QCI.9","L.Thrp.bits.DL.ExtQCI.Index0","L.Thrp.bits.DL.LastTTI.QCI.3","L.Thrp.bits.DL.LastTTI.QCI.6","L.Thrp.bits.DL.LastTTI.QCI.7","L.Thrp.bits.DL.LastTTI.QCI.8","L.Thrp.bits.DL.LastTTI.QCI.9","L.Thrp.bits.DL.QCI.3","L.Thrp.bits.DL.QCI.6","L.Thrp.bits.DL.QCI.7","L.Thrp.bits.DL.QCI.8","L.Thrp.bits.DL.QCI.9","L.Thrp.bits.UL.ExtQCI.Index0","L.Thrp.bits.UL.QCI.3","L.Thrp.bits.UL.QCI.6","L.Thrp.bits.UL.QCI.7","L.Thrp.bits.UL.QCI.8","L.Thrp.bits.UL.QCI.9","L.Thrp.Time.DL.ExtQCI.Index0","L.Thrp.Time.DL.QCI.3","L.Thrp.Time.DL.QCI.6","L.Thrp.Time.DL.QCI.7","L.Thrp.Time.DL.QCI.8","L.Thrp.Time.DL.QCI.9","L.Thrp.Time.DL.RmvLastTTI.QCI.3","L.Thrp.Time.DL.RmvLastTTI.QCI.6","L.Thrp.Time.DL.RmvLastTTI.QCI.7","L.Thrp.Time.DL.RmvLastTTI.QCI.8","L.Thrp.Time.DL.RmvLastTTI.QCI.9","L.Thrp.Time.UL.ExtQCI.Index0","L.Thrp.Time.UL.QCI.3","L.Thrp.Time.UL.QCI.6","L.Thrp.Time.UL.QCI.7","L.Thrp.Time.UL.QCI.8","L.Thrp.Time.UL.QCI.9","L.Traffic.ActiveUser.DL.ExtQCI.Index0","L.Traffic.ActiveUser.DL.QCI.3","L.Traffic.ActiveUser.DL.QCI.6","L.Traffic.ActiveUser.DL.QCI.7","L.Traffic.ActiveUser.DL.QCI.8","L.Traffic.ActiveUser.DL.QCI.9","L.Traffic.ActiveUser.UL.ExtQCI.Index0","L.Traffic.ActiveUser.UL.QCI.3","L.Traffic.ActiveUser.UL.QCI.6","L.Traffic.ActiveUser.UL.QCI.7","L.Traffic.ActiveUser.UL.QCI.8","L.Traffic.ActiveUser.UL.QCI.9"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=31, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML03, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,96,0,8.626,1.16,7.633,0.501,95,0,1.184,0.61,1.503,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,482,612,635,43,0,0,0,0,0,0,0,0,1,0,840,737,951,57,0,0,481,612,634,43,6016,0,1956664776,292090776,2417546368,77572672,0,13897053048,1416286640,10504505864,700070880,2432,0,541079288,191311016,849109896,32000624,6,0,654507,100661,824101,300330,0,377927,44986,379105,57347,5,0,494477,125029,709070,26386,0,0,0.308,0.059,0.445,0.116,0,0,0.583,0.119,0.546,0.025
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=21, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML02, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,96,0,5.75,2.323,15.603,0.209,95,0,1.295,0.525,2.07,0.016,0,0,0,1,1,0,0,0,0,0,0,0,0,1038,638,1508,14,0,0,0,0,0,0,0,0,0,0,1304,591,1603,15,0,0,1038,636,1500,14,0,0,693940400,333306352,1686654696,66577792,0,5644247888,2077037880,14708414432,316335688,0,0,511485720,125567696,611506360,19084728,0,0,437853,217253,1101914,120158,0,303348,128126,902113,51468,0,0,404987,103044,804292,11777,0,0,0.193,0.101,0.437,0.054,0,0,0.452,0.123,0.643,0.009
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=11, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML01, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,96,0.327,12.234,3.337,16.929,1.859,95,0.044,2.676,0.59,2.83,0.303,0,0,0,0,1,0,0,0,0,0,0,0,0,1735,814,1765,150,0,0,0,0,0,0,0,0,0,0,2228,943,2286,153,0,0,1732,814,1762,150,392362160,0,927459112,102031768,673082552,28778304,0,20271474000,3449000352,27809966360,2206695144,11823344,0,947907920,161985424,1107646416,76136288,32860,0,1151337,316493,1510275,879956,0,898758,242052,1223803,540125,5639,0,577027,135128,787874,118703,0.01,0,0.509,0.134,0.696,0.286,0.004,0,0.45,0.09,0.579,0.102
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=24, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0,0.992,0.137,2.957,0.803,100,0,1.337,0.035,0.739,0.238,0,0,0,0,1,0,0,0,0,0,0,0,0,312,72,280,3,0,0,0,0,0,0,0,0,0,0,186,48,199,3,0,0,312,72,280,3,0,0,82900848,6611344,154653432,82402488,0,1018124752,71977864,1434300272,443965952,0,0,77373016,5090864,75121696,35879072,0,0,38313,6109,85076,190053,0,20526,4789,55938,125080,0,0,41666,2629,70403,17745,0,0,0.054,0.003,0.065,0.064,0,0,0.093,0.002,0.093,0.021
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=14, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.003,8.749,1.051,8.629,0.375,100,0.009,4.452,0.659,6.948,0.318,0,0,1,0,1,0,0,0,0,0,0,0,0,2873,1713,5159,205,0,0,0,0,0,0,0,0,0,0,2461,1518,4600,202,0,0,2873,1711,5151,202,1575600,0,1200651552,225349688,1302758152,97099216,0,8864842048,1214027688,10836065256,568001000,604808,0,479852104,63216264,730598888,40234536,165,0,470455,53079,568858,234441,0,332612,32926,356905,122934,160,0,244753,35706,425617,18382,0,0,0.305,0.037,0.37,0.084,0,0,0.382,0.049,0.692,0.03
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=34, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0,6.265,0.327,1.876,0.083,100,0,1.327,0.352,1.442,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,769,2052,185,0,0,0,0,0,0,0,0,0,0,1481,668,1784,168,0,0,1764,768,2048,184,0,0,493157904,72244688,421338912,15191464,0,5300268632,277854008,2257103336,107098008,0,0,196063592,38061272,178339280,11886288,0,0,156258,22291,107964,17597,0,106113,8264,60471,9522,0,0,100472,22258,127202,5537,0,0,0.096,0.02,0.075,0.008,0,0,0.128,0.033,0.189,0.005
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=35, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0,4.602,0.391,2.653,0.657,100,0,1.133,0.482,1.683,0.222,0,0,1,0,0,0,0,0,0,0,0,14,0,965,350,1284,8,0,0,0,0,0,0,0,0,14,0,856,307,1192,6,14,0,965,348,1284,8,93320,0,562929280,107720296,742738976,5684088,0,5066240792,558686744,3604954520,290499248,61112,0,174875040,53109728,223031288,10977120,66,0,155601,38036,173907,34727,0,107222,20421,95051,32596,79,0,93854,29445,116920,7114,0,0,0.097,0.025,0.106,0.016,0,0,0.118,0.047,0.129,0.012
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=25, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0,1.199,0.185,3.933,1.058,100,0,0.67,0.08,2.427,0.34,0,0,1,0,1,0,0,0,0,0,0,0,0,430,113,854,50,0,0,0,0,0,0,0,0,0,0,389,108,750,49,0,0,430,113,854,50,0,0,186964128,42882752,962800600,211893960,0,1885391008,196798592,4814802896,983132376,0,0,88450152,14274088,277702656,68714968,0,0,55887,12048,335216,372187,0,31718,6606,121093,207587,0,0,44209,7480,275645,40921,0,0,0.036,0.007,0.25,0.122,0,0,0.045,0.006,0.347,0.041
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=15, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.003,11.561,1.538,6.885,0.668,100,0.026,5.286,1.725,6.053,0.296,0,0,0,0,1,0,0,0,0,0,0,39,0,2548,1185,2924,246,0,0,0,0,0,0,0,0,39,0,2321,1093,2667,246,39,0,2545,1185,2916,245,3006360,0,1473702184,164325728,523066464,45408808,0,22510324256,3150766512,9049826256,671808696,2237880,0,665092128,115476816,623934216,37903240,910,0,748451,102051,451346,406580,0,588845,74559,334994,259860,909,0,303605,99713,257219,21871,0.001,0,0.395,0.06,0.271,0.128,0.001,0,0.449,0.174,0.429,0.031
