Result Time,Granularity Period,Object Name,Reliability,"L.E-RAB.AttEst.QCI.1","L.E-RAB.Est.TimeAvg","L.E-RAB.FailEst.X2AP.VoIP","L.E-RAB.InitEst.TimeAvg","L.E-RAB.SuccEst.QCI.1","L.RRC.ConnReq.Att.Emc","L.RRC.ConnReq.Att.HighPri","L.RRC.ConnReq.Att.MoData","L.RRC.ConnReq.Att.Mt","L.RRC.ConnReq.Msg","L.RRC.ConnReq.Succ.Emc","L.RRC.ConnReq.Succ.HighPri","L.RRC.ConnReq.Succ.MoData","L.RRC.ConnReq.Succ.Mt","L.RRC.ConnSetup.TimeAvg","L.RRC.ReEst.Att"
,Minutes,,,None,ms,None,ms,None,None,None,None,None,None,None,None,None,None,ms,None
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=31, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML03, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,0,80,0,87,0,0,6,970,454,1639,0,6,970,454,38,25
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=21, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML02, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,0,91,0,96,0,0,53,1553,1104,3839,0,53,1549,1104,44,118
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=11, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML01, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,0,86,0,92,0,0,12,2381,1393,4358,0,12,2373,1392,41,37
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=24, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,93,0,94,0,0,11,279,309,768,0,11,279,309,37,340
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=14, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,115,0,121,0,0,143,5219,3337,10116,0,143,5219,3335,56,74
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=34, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,71,0,74,0,0,64,2679,1462,4665,0,64,2678,1462,33,28
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=35, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,72,0,75,0,0,16,1412,950,2729,0,16,1412,950,34,10
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=25, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,118,0,122,0,0,11,690,640,1554,0,11,690,640,40,26
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=15, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,115,0,121,0,0,196,3286,2609,7080,0,196,3286,2609,57,41
2022-11-08 01:00,60,"E_JKS803_Gedungnucirave/Cell:eNodeB Function Name=E_JKS803M42_Gedungnucirave, Local Cell ID=25, Cell Name=E_JKS803VF2_Gedungnucirave_VF02, eNodeB ID=629803, Cell FDD TDD indication=CELL_TDD",Reliable,0,75,0,80,0,0,12,72,25,154,0,12,72,25,39,31
2022-11-08 01:00,60,"E_JKS803_Gedungnucirave/Cell:eNodeB Function Name=E_JKS803M42_Gedungnucirave, Local Cell ID=24, Cell Name=E_JKS803VE2_Gedungnucirave_VE02, eNodeB ID=629803, Cell FDD TDD indication=CELL_TDD",Reliable,0,83,0,86,0,0,26,776,358,1326,0,26,771,358,39,38
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=15, Cell Name=E_JKP148VF2_Salembatngh_VF01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,0,61,0,64,0,0,9,300,132,745,0,9,300,132,49,5
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=14, Cell Name=E_JKP148VE2_Salembatngh_VE01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,0,95,0,100,0,0,138,6867,3522,12048,0,138,6829,3495,103,33
2022-11-08 01:00,60,"E_JSX024_Kramatkebayoranlmtbgve/Cell:eNodeB Function Name=E_JSX024M42_Kramatkebayoranlmtbgve, Local Cell ID=15, Cell Name=E_JSX024VF2_Kramatkebayoranlm-TBG_VF01, eNodeB ID=631024, Cell FDD TDD indication=CELL_TDD",Reliable,0,68,0,73,0,0,3,576,313,1168,0,3,576,313,46,16
2022-11-08 01:00,60,"E_JSX024_Kramatkebayoranlmtbgve/Cell:eNodeB Function Name=E_JSX024M42_Kramatkebayoranlmtbgve, Local Cell ID=14, Cell Name=E_JSX024VE2_Kramatkebayoranlm-TBG_VE01, eNodeB ID=631024, Cell FDD TDD indication=CELL_TDD",Reliable,0,87,0,93,0,0,94,6265,4412,11945,0,94,6261,4412,55,80
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=32, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,104,0,108,0,0,7,2017,1331,3867,0,7,2017,1330,43,44
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=22, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,78,0,80,0,0,0,2411,1523,4548,0,0,2411,1523,40,54
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=12, Cell Name=E_SKB904MT1_Dayeuhluhurwarudoyong-TBG_MT01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,73,0,75,0,0,50,668,380,1277,0,50,668,380,28,16
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=21, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML02, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,70,0,71,0,0,5,1967,1208,3511,0,5,1967,1208,29,13
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=11, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML01, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,68,0,70,0,0,3,1079,725,2076,0,3,1079,725,29,9
2022-11-08 01:00,60,"E_SKB904_Dayeuhluhurwarudoyong-TBG/Cell:eNodeB Function Name=E_SKB904M41_Dayeuhluhurwarudoyong-TBG, Local Cell ID=31, Cell Name=E_SKB904ML1_Dayeuhluhurwarudoyong-TBG_ML03, eNodeB ID=148904, Cell FDD TDD indication=CELL_FDD",Reliable,0,68,0,70,0,0,3,2156,1422,4149,0,0,2156,1422,30,15
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=51, Cell Name=E_EPE030OL1_MasjidgglimosmacroBTSH-DMT_OL02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,60,0,62,0,0,36,1142,522,1836,0,35,1141,522,22,4
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=41, Cell Name=E_EPE030OL1_MasjidgglimosmacroBTSH-DMT_OL01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,1,62,0,66,1,0,43,2164,967,3422,0,43,2164,967,19,21
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=31, Cell Name=E_JKS428ML1_Masjidgglimo_ML03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,48,0,51,0,0,3,1093,458,1918,0,3,1093,458,20,13
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=21, Cell Name=E_JKS428ML1_Masjidgglimo_ML02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,2,66,0,68,2,0,19,2231,1163,4046,0,19,2230,1163,26,113
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=11, Cell Name=E_JKS428ML1_Masjidgglimo_ML01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,57,0,59,0,0,0,708,422,1249,0,0,708,422,20,3001
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=33, Cell Name=E_JKS428MR1_Masjidgglimo_MR03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,68,0,74,0,0,0,15,19,44,0,0,15,19,35,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=23, Cell Name=E_JKS428MR1_Masjidgglimo_MR02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,95,0,102,0,0,0,68,58,336,0,0,68,58,36,0
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=13, Cell Name=E_JKS428MR1_Masjidgglimo_MR01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,71,0,72,0,0,16,102,54,199,0,16,102,54,28,21
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=32, Cell Name=E_JKS428MT1_Masjidgglimo_MT03, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,81,0,86,0,0,0,250,208,536,0,0,250,208,27,12
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=22, Cell Name=E_JKS428MT1_Masjidgglimo_MT02, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,1,99,0,100,1,0,0,242,106,425,0,0,242,106,60,27
2022-11-08 01:00,60,"E_JKS428_Masjidgglimo/Cell:eNodeB Function Name=E_JKS428M41_Masjidgglimo, Local Cell ID=12, Cell Name=E_JKS428MT1_Masjidgglimo_MT01, eNodeB ID=133428, Cell FDD TDD indication=CELL_FDD",Reliable,0,71,0,81,0,0,56,448,135,682,0,56,448,134,44,214
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=35, Cell Name=T_JKS106TF1_Ciranjang_TF03, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,,0,0,0,0,0,0,0,0,0,0,,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=34, Cell Name=T_JKS106TE1_Ciranjang_TE03, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,,0,0,0,0,0,0,0,0,0,0,,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=33, Cell Name=E_JKS106MR1_Ciranjang_MR03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,54,0,64,0,0,0,47,28,134,0,0,47,28,25,1
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=32, Cell Name=E_JKS106MT1_Ciranjang_MT03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,0,103,0,0,3,210,105,340,0,3,210,105,30,16
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=31, Cell Name=E_JKS106ML1_Ciranjang_ML03, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,47,0,48,0,0,8,763,288,1148,0,8,762,288,20,7
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=25, Cell Name=T_JKS106TF1_Ciranjang_TF02, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,,0,0,0,0,0,0,0,0,0,0,,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=24, Cell Name=T_JKS106TE1_Ciranjang_TE02, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,,0,0,0,0,0,0,0,0,0,0,,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=23, Cell Name=E_JKS106MR1_Ciranjang_MR02, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,56,0,57,0,0,0,182,145,357,0,0,182,145,21,11
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=22, Cell Name=E_JKS106MT1_Ciranjang_MT02, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,97,0,107,0,0,0,415,295,840,0,0,406,295,59,21
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=21, Cell Name=E_JKS106ML1_Ciranjang_ML02, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,50,0,51,0,0,6,1351,632,2108,0,6,1351,632,25,5
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=15, Cell Name=T_JKS106TF1_Ciranjang_TF01, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,,0,0,0,0,0,0,0,0,0,0,,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=14, Cell Name=T_JKS106TE1_Ciranjang_TE01, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,,0,0,0,0,0,0,0,0,0,0,,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=13, Cell Name=E_JKS106MR1_Ciranjang_MR01, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,58,0,57,0,0,0,214,101,350,0,0,214,101,21,7
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=12, Cell Name=E_JKS106MT1_Ciranjang_MT01, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,78,0,83,0,0,0,336,248,653,0,0,336,248,34,5
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=11, Cell Name=E_JKS106ML1_Ciranjang_ML01, eNodeB ID=133106, Cell FDD TDD indication=CELL_FDD",Reliable,0,62,0,62,0,0,5,1701,1093,3304,0,5,1701,1092,22,20
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=65, Cell Name=T_JKS106TF1_Ciranjang_TF06, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,,0,0,0,0,0,0,0,0,0,0,,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=55, Cell Name=T_JKS106TF1_Ciranjang_TF05, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,,0,0,0,0,0,0,0,0,0,0,,0
2022-11-08 01:00,60,"E_JKS106_Ciranjang/Cell:eNodeB Function Name=E_JKS106M41_Ciranjang, Local Cell ID=45, Cell Name=T_JKS106TF1_Ciranjang_TF04, eNodeB ID=133106, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,,0,0,0,0,0,0,0,0,0,0,,0
