Result Time,Granularity Period,Object Name,Reliability,"L.PDCP.Tx.Disc.Trf.SDU.QCI.1","L.PDCP.Tx.Disc.Trf.SDU.QCI.2","L.PDCP.Tx.TotRev.Trf.SDU.QCI.1","L.PDCP.Tx.TotRev.Trf.SDU.QCI.2","L.Traffic.DL.PktUuLoss.Loss.QCI.2","L.Traffic.UL.PktLoss.Loss.QCI.2","L.Traffic.UL.PktLoss.Tot.QCI.2","L.Voice.E2EVQI.Accept.Times","L.Voice.E2EVQI.AMRWB.Accept.Times","L.Voice.E2EVQI.AMRWB.Bad.Times","L.Voice.E2EVQI.AMRWB.Excellent.Times","L.Voice.E2EVQI.AMRWB.Good.Times","L.Voice.E2EVQI.AMRWB.Poor.Times","L.Voice.E2EVQI.Bad.Times","L.Voice.E2EVQI.Excellent.Times","L.Voice.E2EVQI.Good.Times","L.Voice.E2EVQI.Poor.Times","L.Voice.VQI.DL.Accept.Times","L.Voice.VQI.DL.Bad.Times","L.Voice.VQI.DL.Excellent.Times","L.Voice.VQI.DL.Good.Times","L.Voice.VQI.DL.Poor.Times","L.Voice.VQI.UL.Accept.Times","L.Voice.VQI.UL.Bad.Times","L.Voice.VQI.UL.Excellent.Times","L.Voice.VQI.UL.Good.Times","L.Voice.VQI.UL.Poor.Times"
,Minutes,,,packet,packet,packet,packet,packet,packet,packet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=31, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML03, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=21, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML02, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=11, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML01, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=24, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=14, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=34, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=35, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=25, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=15, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS803_Gedungnucirave/Cell:eNodeB Function Name=E_JKS803M42_Gedungnucirave, Local Cell ID=25, Cell Name=E_JKS803VF2_Gedungnucirave_VF02, eNodeB ID=629803, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKS803_Gedungnucirave/Cell:eNodeB Function Name=E_JKS803M42_Gedungnucirave, Local Cell ID=24, Cell Name=E_JKS803VE2_Gedungnucirave_VE02, eNodeB ID=629803, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=15, Cell Name=E_JKP148VF2_Salembatngh_VF01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_JKP148_Salembatnghve/Cell:eNodeB Function Name=E_JKP148M42_Salembatnghve, Local Cell ID=14, Cell Name=E_JKP148VE2_Salembatngh_VE01, eNodeB ID=629148, Cell FDD TDD indication=CELL_TDD",Reliable,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
