Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.PRB.DL.Avail","L.ChMeas.PRB.DL.PDSCH.WBBUsed.Avg","L.ChMeas.PRB.PUSCH.WBBUsed.Avg","L.ChMeas.PRB.UL.Avail","L.Thrp.bits.DL.LastTTI.WBB","L.Thrp.bits.DL.WBB","L.Thrp.bits.WBB.UL.Experienced","L.Thrp.Time.DL.RmvLastTTI.WBB","L.Thrp.Time.WBB.UL.Experienced","L.Traffic.ActiveUser.DL.WBB.Avg","L.Traffic.ActiveUser.UL.WBB.Avg","L.Traffic.User.WBB.Avg"
,Minutes,,,None,None,None,None,bit,bit,bit,ms,ms,None,None,None
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=31, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML03, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,96,0.004,0.002,95,316400,1880432,250848,273,498,0,0,0.035
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=21, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML02, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,96,0.004,0.007,95,426576,1122976,438456,227,1351,0,0,0.039
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=11, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML01, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,96,0.036,0.073,95,8436096,56137856,16132104,4698,19833,0.006,0.007,1.021
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=24, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0,0,100,0,0,0,0,0,0,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=14, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.006,0.001,100,130256,363912,162712,26,422,0,0,0.003
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=34, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.017,0.149,100,1812520,2139728,5552544,101,8986,0.001,0.002,0.613
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=35, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.697,0.377,100,4543320,281088016,9192960,31179,43556,0.01,0.012,0.093
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=25, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.002,0.022,100,53720,79520,53176,3,3447,0,0,0.03
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=15, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,100,0.062,0.072,100,16043160,113045976,10660512,2676,19009,0.004,0.005,0.639
