Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.PDCCH.AggLvl1Num","L.ChMeas.PDCCH.AggLvl2Num","L.ChMeas.PDCCH.AggLvl4Num","L.ChMeas.PDCCH.AggLvl8Num","L.RA.TA.UE.Index0","L.RA.TA.UE.Index1","L.RA.TA.UE.Index10","L.RA.TA.UE.Index11","L.RA.TA.UE.Index2","L.RA.TA.UE.Index3","L.RA.TA.UE.Index4","L.RA.TA.UE.Index5","L.RA.TA.UE.Index6","L.RA.TA.UE.Index7","L.RA.TA.UE.Index8","L.RA.TA.UE.Index9","L.UL.Interference.Avg"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,dBm
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=31, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML03, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,1120,2122130,197370,274976,187,1861,0,0,2135,238,0,0,0,0,0,0,-117
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=21, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML02, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,245792,1338233,295408,532495,66,467,0,0,3727,1476,41,0,0,0,0,0,-117
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=11, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML01, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,3163,3999107,208389,343727,99,1746,0,0,4314,756,6,0,0,0,0,0,-116
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=24, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,228064,176910,35851,41591,35,387,0,0,917,53,17,0,0,0,0,0,-116
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=14, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,157066,1240704,123812,225663,211,2349,0,0,5714,2377,203,18,0,0,0,0,-114
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=34, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,77977,445823,31480,64642,168,2190,0,0,2419,128,1,0,0,0,0,0,-117
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=35, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,71913,368446,46388,150934,127,1830,0,0,1274,69,0,0,0,0,0,0,-117
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=25, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,56528,510688,44900,57887,248,975,0,0,531,91,12,0,0,0,0,0,-117
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=15, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,116159,1464216,94355,244177,134,1535,0,0,4292,1629,123,5,0,0,0,0,-115
