Result Time,Granularity Period,Object Name,Reliability,"L.ChMeas.MIMO.PRB.CL.Rank1","L.ChMeas.MIMO.PRB.CL.Rank2","L.ChMeas.MIMO.PRB.OL.Rank1","L.ChMeas.MIMO.PRB.OL.Rank2","L.ChMeas.PDSCH.MCS.0","L.ChMeas.PDSCH.MCS.1","L.ChMeas.PDSCH.MCS.10","L.ChMeas.PDSCH.MCS.11","L.ChMeas.PDSCH.MCS.12","L.ChMeas.PDSCH.MCS.13","L.ChMeas.PDSCH.MCS.14","L.ChMeas.PDSCH.MCS.15","L.ChMeas.PDSCH.MCS.16","L.ChMeas.PDSCH.MCS.17","L.ChMeas.PDSCH.MCS.18","L.ChMeas.PDSCH.MCS.19","L.ChMeas.PDSCH.MCS.2","L.ChMeas.PDSCH.MCS.20","L.ChMeas.PDSCH.MCS.21","L.ChMeas.PDSCH.MCS.22","L.ChMeas.PDSCH.MCS.23","L.ChMeas.PDSCH.MCS.24","L.ChMeas.PDSCH.MCS.25","L.ChMeas.PDSCH.MCS.26","L.ChMeas.PDSCH.MCS.27","L.ChMeas.PDSCH.MCS.28","L.ChMeas.PDSCH.MCS.29","L.ChMeas.PDSCH.MCS.3","L.ChMeas.PDSCH.MCS.30","L.ChMeas.PDSCH.MCS.31","L.ChMeas.PDSCH.MCS.4","L.ChMeas.PDSCH.MCS.5","L.ChMeas.PDSCH.MCS.6","L.ChMeas.PDSCH.MCS.7","L.ChMeas.PDSCH.MCS.8","L.ChMeas.PDSCH.MCS.9","L.ChMeas.RI.Rank1","L.ChMeas.RI.Rank2","L.ChMeas.RI.Rank3","L.ChMeas.RI.Rank4"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=31, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML03, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,40992787,20311730,4145709,0,17248,102429,20185,70023,83075,87252,94623,85822,65742,20520,82236,75647,12297,82965,89496,94990,81778,71026,60340,45443,80233,105312,135099,15190,128954,170645,23468,32460,32525,47837,55954,50760,2245093,3161403,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=21, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML02, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,60863249,21352639,5137851,0,73864,155521,44261,129613,131082,126237,121761,110227,73955,38218,109551,103519,30649,96320,89020,77386,58116,45491,36567,24561,34983,43892,214437,38287,163994,197519,56924,76547,77023,99069,117498,86694,2372252,1462037,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=11, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML01, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,66784096,53938391,5559695,0,75862,210236,65975,198433,218127,230017,253430,260351,173183,102431,275254,268473,36602,271589,257719,252533,227754,217921,175281,135958,154497,141990,268021,46681,344204,543991,63041,98678,89960,131517,156048,120978,2509987,4833755,0,0
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=24, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,5365730,10492095,498961,0,73708,256816,0,27107,26439,21883,22476,11785,4502,0,12577,6026,27785,4864,2658,3093,2394,2914,2562,672,1331,795,25026,13837,4167,816,22985,22869,22947,25643,29402,32619,13576,31447,51,33
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=14, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,30313595,25981451,4360857,0,40285,354717,29,75099,83352,72612,128167,115528,75619,0,145662,115824,13357,111309,86886,93180,82326,82802,103586,31605,63754,41251,4143,13518,6150,6873,23186,29289,28155,42010,56401,58045,933464,1017617,3338,709
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=34, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,7902533,18031751,1670295,0,39624,155282,8,28243,31687,26625,48849,41884,23404,0,54076,39376,7441,36283,20388,24054,22011,34057,33261,5490,9813,5139,4020,5574,3926,2227,8545,11608,12491,14747,18152,22494,156784,260372,592,20
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=35, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,6427067,16275154,3791439,0,36155,114341,2,25897,31976,32790,48198,45724,28756,0,66252,51429,6465,50783,40450,43431,40075,30239,33594,18542,32330,16013,3564,3949,3531,1912,7281,9410,10122,13512,17883,19807,51479,170437,218,70
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=25, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,4280945,13283726,2472847,0,13983,61100,0,30724,37499,44590,70450,78388,21410,0,131501,76319,6764,70426,69071,58549,47547,16785,30524,17769,31338,21891,1297,2979,2336,1610,7235,9897,12282,15758,20660,23963,21964,83164,44,39
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=15, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,25011859,38369485,2089611,0,22793,251995,14,50047,68202,78691,113984,136508,78205,0,239960,176386,3913,167258,168981,155184,155277,61147,120334,107345,237855,121461,2025,2422,3990,10012,5821,8215,10022,19396,28268,29386,743416,913499,3414,1227
